189.00 168.19 240.96 182.03 192.06 82.91 206.24 193.25 149.96 200.00 150.41 170.56 172.44 236.24 172.44 246.06
184.85 168.76 212.60 191.26 203.09 82.95 208.78 196.08 152.29 200.00 165.44 171.50 206.83 212.60 206.83 212.60
83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00 83.00
78.04 102.66 179.92 165.62 186.03 182.96 133.18 165.83 136.84 155.56 192.47 170.08 158.41 151.62 178.86 211.78
77.53 108.00 180.60 187.75 188.20 184.14 125.78 186.69 160.08 165.14 187.80 188.13 165.83 154.00 187.22 188.22
101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00 101.00
175.40 179.06 205.55 258.42 231.00 275.86 215.33 175.42 191.13 267.18 211.15 143.46 219.21 251.21 231.52 291.00
196.00 209.05 257.96 274.45 237.00 277.45 270.55 207.57 204.00 274.57 265.20 165.20 246.58 271.00 250.24 277.45
180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00 180.00
148.45 138.96 166.36 108.38 109.35 150.29 146.38 152.29 158.17 66.91 113.27 153.11 125.85 161.31 125.15 183.00
161.03 171.49 175.41 143.70 151.46 157.60 157.32 166.71 169.76 76.82 177.00 176.82 170.69 171.91 157.59 183.00
109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00 109.00
360.45 320.81 196.53 231.94 308.59 128.58 304.00 349.59 234.99 210.50 281.23 310.16 355.04 223.29 257.90 370.00
321.70 324.04 236.33 263.93 305.78 154.34 304.00 324.04 279.36 242.15 293.65 316.30 317.96 256.92 271.99 324.04
162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00 162.00
251.62 284.09 191.33 284.19 228.54 188.65 222.97 261.46 199.59 163.01 187.74 223.21 115.86 244.69 261.01 300.00
278.55 278.83 208.14 278.83 264.44 220.96 269.18 278.83 247.86 170.00 203.85 240.77 128.58 277.11 278.83 278.83
130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00 130.00
343.55 177.02 282.33 227.88 277.05 224.26 188.00 327.85 291.81 243.97 340.09 236.53 314.03 277.22 313.54 369.00
350.43 204.68 347.27 277.09 343.15 256.38 188.00 348.01 306.97 284.84 349.01 263.68 350.43 342.86 342.84 350.43
188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00 188.00
218.20 272.59 236.81 201.35 301.28 312.41 264.84 242.86 289.03 346.02 372.18 250.23 202.98 334.65 288.80 375.70
219.87 290.84 263.09 203.00 325.17 313.55 296.02 268.58 309.62 322.25 328.04 278.91 209.45 327.66 308.46 328.04
203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00 203.00
427.36 423.18 269.19 376.14 322.33 238.87 298.22 285.39 204.51 316.04 320.43 401.68 305.74 301.00 397.70 444.35
371.90 372.13 288.23 344.18 343.91 239.69 320.92 305.32 214.18 305.38 347.52 366.41 347.68 301.00 369.28 372.13
216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00 216.00
206.96 317.98 327.60 363.23 242.91 242.11 396.96 279.96 207.00 260.91 256.00 280.42 396.11 329.04 349.04 405.11
207.00 332.70 322.42 336.42 254.12 255.22 336.42 292.43 207.00 269.01 256.00 302.93 336.42 334.18 331.20 336.42
207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00 207.00
34.50 34.66 39.29 44.33 32.70 25.87 25.32 34.35 34.07 38.02 43.06 22.77 37.21 39.00 42.33 46.30 42.56 44.38 31.79 25.87 38.03 28.86 23.56 30.53 35.75 31.92 40.00 38.45 44.33 26.94 50.00
42.49 44.69 39.51 44.93 41.98 27.00 33.75 42.16 40.48 44.40 42.18 22.52 40.75 39.98 44.92 44.93 44.51 44.92 35.78 27.00 40.97 27.54 29.73 40.30 37.00 43.19 44.20 39.20 44.93 34.24 44.93
31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63 31.63
36.20 23.32 33.47 34.75 22.06 26.97 21.19 33.00 22.25 27.10 27.04 30.54 26.93 28.00 18.11 27.85 29.94 35.43 25.79 32.01 34.34 31.04 24.14 35.18 27.65 28.19 25.57 23.73 29.42 23.97 40.00
37.55 27.00 39.98 35.45 31.41 34.47 35.41 39.92 32.01 31.36 37.07 39.77 30.51 31.85 22.99 31.74 39.92 37.46 38.33 38.96 40.00 39.79 21.98 40.00 36.19 32.91 35.46 31.83 33.00 35.97 40.00
27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00 27.00
29.21 6.08 29.59 24.47 32.45 34.00 28.68 34.00 26.49 24.92 12.87 23.77 34.00 28.28 5.18 9.19 11.60 8.60 19.86 34.00 34.00 34.00 20.21 34.00 16.27 29.08 27.42 31.08 28.91 8.00 34.00
22.36 14.25 23.00 18.57 23.00 23.00 23.00 23.00 22.20 23.00 15.00 23.00 23.00 23.00 10.71 9.49 12.41 9.41 23.00 23.00 23.00 23.00 23.00 23.00 20.25 21.77 23.00 23.00 22.59 8.00 23.00
8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00
